task,gender,feature,n,n_valid,mean,std,RI_lower,RI_upper,CI_lower_lo,CI_lower_hi,CI_upper_lo,CI_upper_hi
picnic,female,F3_median,394,394,2945.5925336242226,172.51116398685522,2577.3642102911676,3217.378737905646,2465.3791453389094,2646.412091148445,3181.230314541861,3270.229009132985
picnic,female,F4_mean,394,394,4024.4693031108072,168.79860915224467,3661.088460106292,4244.476724239407,3547.1221949101173,3757.405731754186,4236.62568832641,4288.948045484696
picnic,female,F4_median,394,394,4042.847065916893,179.4598346777947,3682.2763433010978,4293.860667829074,3536.852941314241,3731.883920122498,4268.838201729529,4330.439135754699
picnic,female,speech_rate,394,394,2.3351606432749956,0.40650749830369165,1.446008769424132,2.9567774227848647,1.3483905460635868,1.5912683063447979,2.9008202828172496,3.0388532366071432
picnic,female,articulation_rate,394,394,3.5002951359565406,0.015124420976334159,3.4746673457623096,3.5324104032713946,3.4698474061572657,3.476983349657132,3.5251504447933475,3.5353535353535994
picnic,female,avg_syllable_duration,394,394,0.28569549145980255,0.0012258820857788154,0.2830928308823478,0.2877973345588258,0.2828571428571377,0.28367583732057045,0.2876056338028224,0.2881971153846105
picnic,female,mean_pause_duration,394,394,0.25077770560479884,0.12222458644648794,0.0981904761904764,0.5591103927203065,0.0877429202029071,0.1073650793650797,0.523374007936508,0.6288383333333338
picnic,female,mean_speech_duration,394,394,0.5341854268157559,0.40161755909773106,0.20551605504587148,0.9279943229604714,0.1620891897233203,0.2287588383838382,0.8582362980769231,0.9481291379310345
picnic,female,silence_rate,394,394,0.3328150095785526,0.11629420891314864,0.15469204751673934,0.5848110404434983,0.13344029017853612,0.17138663757289546,0.5483431363864408,0.6143780735835411
picnic,female,silence_to_speech_ratio,394,394,1.0212572887483289,0.02073998970413879,1.0049708142456037,1.0561274509803922,1.0047201377918202,1.0058080723215486,1.0526315789473684,1.0675000000000001
